synoptic_name	signature	diagnosis	tnm
breast-DCIS	Procedure;Lymph Node Sampling;Specimen Laterality;Size of DCIS	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Category (pN);Distant Metastasis (pM)
breast-DCIS-v2	Procedure;Lymph Node Sampling;Specimen Laterality;Tumor Site;Size of DCIS	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Category (pN);Distant Metastasis (pM)
breast-invasive	Procedure;Lymph Node Sampling;Specimen Laterality;Tumor Site of Invasive Carcinoma	Presence of Invasive Carcinoma	Primary Tumor (Invasive Carcinoma) (pT);Regional Lymph Nodes (pN)
breast-invasive-v2	Procedure;Lymph Node Sampling;Specimen Laterality;Presence of Invasive Carcinoma	Presence of Invasive Carcinoma	Primary Tumor (Invasive Carcinoma) (pT);Regional Lymph Nodes (pN)
breast-invasive-v3	Clinical History;Procedure;Lymph Node Sampling;Specimen Laterality;Presence of Invasive Carcinoma	Presence of Invasive Carcinoma	Primary Tumor (Invasive Carcinoma) (pT);Regional Lymph Nodes (pN)
breast-invasive-v4	Radiologic Finding;Procedure;Lymph Node Sampling;Specimen Laterality;Presence of Invasive Carcinoma	Presence of Invasive Carcinoma	Primary Tumor (Invasive Carcinoma) (pT);Regional Lymph Nodes (pN)
breast-invasive-v5	Procedure;Lymph Node Sampling;Specimen Laterality;Clock Position of Tumor Site;Presence of Invasive Carcinoma	Presence of Invasive Carcinoma	Primary Tumor (Invasive Carcinoma) (pT);Regional Lymph Nodes (pN)
breast-invasive-v6	Clinical History;Radiologic Finding	Presence of Invasive Carcinoma	Primary Tumor (Invasive Carcinoma) (pT);Regional Lymph Nodes (pN)
lung	Specimen;Procedure;Specimen Integrity	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
pancreas	Specimen;Procedure;Tumor Site;Histologic Type;Histologic Grade	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
melanoma-excision	Specimen Site;Procedure;Primary Tumor Site;Specimen Laterality;Multiple Primary Sites;Macroscopic Satellite(s)	Histologic Type	Primary Tumor (pT);Regional Nodes;Distant Metastasis (pM)
melanoma-re-excision	Specimen Site;Procedure;Primary Tumor Site;Specimen Laterality;Macroscopic Satellite(s)	Histologic Type	Primary Tumor (pT);Regional Nodes;Distant Metastasis (pM)
kidney-partial	Specimen Site;Procedure;Specimen Laterality;Tumor Focality;Macroscopic Extent of Tumor	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
kidney-rcc	Specimen Site;Procedure;Specimen Laterality;Tumor Site;Tumor Focality;Macroscopic Extent of Tumor	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
kidney-urothelial	Specimen Site;Tumor Site;Procedure;Specimen Laterality;Tumor Size	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
ovary	Specimen;Procedure;Additional Procedures;Lymph Node Sampling;Specimen Integrity;	Histologic Type	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
colon	Specimen;Procedure;Tumor Site;Macroscopic Tumor Perforation	Histologic Type	Pathologic Staging (pTNM);Regional Lymph Nodes (pN);Distant Metastasis (pM)
colon-v2	Specimen;Procedure;Specimen Length;Tumor Site;Macroscopic Tumor Perforation	Histologic Type	Pathologic Staging (pTNM);Regional Lymph Nodes (pN);Distant Metastasis (pM)
gi-neuroendocrine	Specimen;Procedure;Specimen Size	HISTOLOGIC TYPE AND GRADE	Primary Tumor (pT);Regional Lymph Nodes (pN);Distant Metastasis (pM)
